feature,mean_abs_shap_avg,mean_abs_shap_std,n_folds_in_topk
X772,0.3543985038995743,0.07493789562839906,4
X758,0.0908074900507927,0.04349356982573839,4
X757,0.04593445127829909,0.01961747730223348,3
X777,0.04200783558189869,0.027265945190287005,2
X752,0.039465909358114004,0.01689549678284798,3
X427,0.03808283060789108,0.010194707098257599,4
X445,0.03794712922535837,0.014635820161813497,3
X501,0.03772247792221606,0.02564988302016749,2
X344,0.03484142804518342,0.019466343315766785,2
X759,0.03376218304038048,0.010158230191336748,3
X138,0.028425235534086823,0.010599411087126578,2
X769,0.02727622538805008,0.009615803450205811,2
X767,0.027147990418598056,0.011192770782001517,2
X96,0.02533433400094509,0.017054027333798533,2
X421,0.025005763629451394,0.01278103533352648,2
X343,0.02478913892991841,0.015674470813139874,1
X614,0.024169508833438158,0.011295419281784074,1
X611,0.024077849462628365,0.01426037390845817,2
X269,0.024001797224627808,0.021429705119531073,2
X508,0.022908952552825212,0.008374199976371642,1
X776,0.022383086383342743,0.02314254968617635,1
X613,0.020906512741930783,0.013994955770582362,1
X779,0.020285650622099638,0.007580042766442274,0
X139,0.01965887495316565,0.0095970186224493,1
X500,0.019607179099693894,0.005337106784845816,1
X39,0.019538066699169576,0.009137228860760889,1
X750,0.0192254459252581,0.01795400003444483,1
X376,0.018725101079326123,0.023859368238580772,1
X90,0.01865353691391647,0.007027762380905625,1
X337,0.018427946604788303,0.011311277199705783,1
X345,0.018370321253314614,0.011430639665417111,1
X288,0.01807662530336529,0.007232120608221423,0
X373,0.017603378306375816,0.015755132078727533,1
X778,0.01719366037286818,0.004220965216276604,1
X466,0.01701937709003687,0.005716882105303308,0
X610,0.016928122844547033,0.007355320412649253,1
X444,0.016406234120950103,0.00775267920132293,1
X607,0.01637089718133211,0.008556652862432807,0
X465,0.016316751949489117,0.00464374895387729,0
X581,0.016220765188336372,0.0019305785257549793,0
X385,0.015503891743719578,0.004603362382828166,1
X24,0.015325179963838309,0.008971736126288007,0
X179,0.015222773421555758,0.005846925662726199,0
X428,0.015180907328613102,0.008195726760217792,0
X414,0.015160224284045398,0.005094860519903842,0
X332,0.015135877067223191,0.004886565155080383,1
X443,0.01498251419980079,0.010844439425772767,1
X97,0.01490799174644053,0.0069119357511098324,1
X773,0.014757993747480214,0.011360522106340606,1
X180,0.014619799330830574,0.010055732869539901,0
X576,0.0145088839053642,0.012065800850181314,1
X651,0.01429632876534015,0.012423322859617227,1
X84,0.013982129516080022,0.009781026170026732,0
X751,0.013910176290664822,0.01697899642131107,1
X684,0.01371114095672965,0.011482433805262114,1
X582,0.013536843238398433,0.003086964516849906,0
X132,0.013534956844523549,0.007655602269504311,1
X756,0.0135253801709041,0.004443867499702354,0
X25,0.013385508966166526,0.010335832029424433,0
X681,0.013307620232808404,0.007350082936688299,0
X654,0.013144176569767296,0.006740872631945489,0
X768,0.013080171309411526,0.008519947066900745,1
X738,0.012953968020156026,0.002185344955319895,0
X302,0.012815379188396037,0.013613822293775927,1
X587,0.01272812148090452,0.007051636717437422,1
X570,0.012724394211545587,0.009751888983239473,1
X682,0.012708357768133283,0.003438417769239106,0
X37,0.012652944540604949,0.008662764451389379,0
X591,0.012423260021023452,0.005940462871296376,0
X617,0.012331133475527167,0.0017528949785198423,0
X584,0.012249134480953217,0.005720655007430322,0
X422,0.012244202778674662,0.005152467182247288,0
X333,0.012104536697734147,0.005868619904479582,0
X590,0.012057332089170814,0.003686867892329186,0
X198,0.01176392228808254,0.006875510838886482,0
X19,0.011695594410412014,0.006926951860135481,0
X126,0.011657530325464904,0.0053496712148859175,0
X88,0.011574987147469074,0.014548767629502959,1
X739,0.011295305681414902,0.005288137297707247,0
X780,0.011250708252191544,0.0019260649079601028,0
X606,0.011058139381930232,0.003837193447801492,0
X426,0.010840705130249262,0.004233494226797158,0
X425,0.010791194858029485,0.0016960661126229376,0
X379,0.010588326607830822,0.003934528295156574,0
X571,0.010508563078474253,0.010348376096374954,0
X136,0.010482893325388432,0.0026647321515327104,0
X753,0.010419709156849422,0.006219171752326041,0
X499,0.01041122863534838,0.005351077686231433,0
X47,0.010271202540025115,0.012509394465213023,1
X766,0.010140115395188332,0.0013725527167805815,0
X32,0.010122361301910132,0.0076227628305101025,0
X650,0.00998954035458155,0.009214652664218927,1
X740,0.009985107695683837,0.005647444951827979,0
X450,0.00993669920717366,0.009513889709375388,0
X381,0.009916676208376884,0.003922686832675436,0
X579,0.009885357634630054,0.005988837501345533,0
X341,0.0098413415835239,0.004147099146357942,0
X586,0.00950695900246501,0.003192979616916685,0
X357,0.009499350970145315,0.0038807703529862327,0
X21,0.009492912329733372,0.008011370062290704,1
X730,0.009424259536899626,0.0025336070374866325,0
X177,0.009377461858093739,0.007641760102998302,0
X588,0.009307147527579218,0.0070292247442571764,0
X174,0.009242367465049028,0.0020029553524239345,0
X182,0.009114642511121929,0.004088033026145744,0
X218,0.009109957376495004,0.005185322585736071,0
X762,0.009032774018123746,0.003248394296048646,0
X94,0.008956915000453591,0.0032855837978269364,0
X40,0.008938221959397197,0.005397231648962645,0
X463,0.008927658200263977,0.003123174001901547,0
X655,0.008912377175875008,0.006650277903360765,0
X507,0.0087419263436459,0.007288390324812704,0
X285,0.0086905233329162,0.00654137175406957,0
X775,0.008613402140326798,0.0028769405440846442,0
X143,0.0085853494820185,0.003044703335249072,0
X329,0.008558139961678535,0.005612179310339827,0
X438,0.008535874949302524,0.011226344831094102,0
X338,0.008494339184835553,0.001451540804216289,0
X384,0.008476717572193593,0.003724227471539502,0
X711,0.008337391656823456,0.004068225927507548,0
X366,0.0082631733675953,0.01173990669188716,1
X284,0.008221966796554625,0.005618963009287481,0
X592,0.008199613308534026,0.003255947563358741,0
