feature,mean_abs_shap
X772,0.34866235
X376,0.059962586
X758,0.056151196
X427,0.044310544
X759,0.043442555
X751,0.043310996
X421,0.042895712
X613,0.042872284
X757,0.042147707
X767,0.038446214
X752,0.03816254
X302,0.036294952
X344,0.036124937
X773,0.033691503
X443,0.03322474
X96,0.032178503
X47,0.03191822
X570,0.029357133
X444,0.029342907
X90,0.028974077
X25,0.028919121
X500,0.025948308
X466,0.025839267
X450,0.025019567
X24,0.024737613
X288,0.023987025
X138,0.023579601
X179,0.023531767
X769,0.022625575
X32,0.02238855
X337,0.021849498
X777,0.021242324
X19,0.021186948
X508,0.020997422
X588,0.020909693
X501,0.020899849
X778,0.020725204
X39,0.019756189
X333,0.019016523
X37,0.018088182
X139,0.018049417
X740,0.017609874
X576,0.017516641
X218,0.01721717
X40,0.017116578
X579,0.01706167
X590,0.016887477
X756,0.016607188
X84,0.016528381
X581,0.016339883
X270,0.0162809
X414,0.016110184
X614,0.016101552
X332,0.01575814
X607,0.015736789
X168,0.01548991
X779,0.0152289
X681,0.0150886495
X422,0.014636524
X606,0.01461685
X617,0.014557231
X385,0.01440696
X674,0.01436826
X445,0.014013155
X357,0.01384443
X329,0.01380405
X682,0.013747988
X582,0.013296733
X611,0.013205132
X619,0.0131238345
X381,0.013062927
X775,0.012715189
X465,0.012659009
X703,0.012606467
X367,0.012553465
X343,0.0125462925
X654,0.012285651
X417,0.012109691
X132,0.011897765
X738,0.011855766
X780,0.011836203
X602,0.011832673
X499,0.011741857
X85,0.011710427
X27,0.011570987
X540,0.011550656
X426,0.011536922
X766,0.0115341805
X94,0.011382435
X750,0.011146191
X326,0.011035215
X564,0.011016361
X292,0.0109074535
X587,0.010810233
X592,0.010689389
X180,0.010680915
X191,0.010640879
X472,0.010582902
X338,0.010496357
X287,0.010472746
X584,0.010411628
X269,0.01039364
X558,0.01035091
X89,0.010275124
X526,0.010134351
X174,0.0099845985
X425,0.009881742
X182,0.009802921
X463,0.009537964
X379,0.009516639
X609,0.009510633
X652,0.009489366
X164,0.009457894
X507,0.009270667
X331,0.00908607
X372,0.0090114055
X175,0.009008409
X345,0.008990077
X616,0.008979353
X126,0.008911393
X198,0.008737375
X97,0.008710403
X217,0.008492292
X451,0.0084472755
X131,0.00828831
X384,0.008265747
X43,0.008261205
X610,0.008054787
X31,0.007998793
X708,0.007918397
X573,0.007904955
X651,0.007895125
X449,0.0077060773
X442,0.007675644
X776,0.007672049
X604,0.007606575
X739,0.007593493
X44,0.0075098905
X731,0.007485743
X36,0.00729821
X294,0.0072802366
X373,0.007200962
X83,0.007199166
X188,0.0071801594
X35,0.007081093
X464,0.007050636
X181,0.0070258435
X386,0.0069595035
X173,0.006946849
X730,0.006920613
X342,0.0068888282
X91,0.006863156
X293,0.0067472733
X710,0.006716112
X87,0.0066254833
X580,0.0065836934
X271,0.006572174
X136,0.0063828574
X585,0.0063609187
X216,0.006196553
X589,0.0061408635
X135,0.0060348343
X300,0.0060257674
X137,0.005994321
X409,0.005978742
X187,0.005970522
X119,0.0058794096
X327,0.005820991
X53,0.0057843546
X591,0.0057425895
X577,0.0056086923
X219,0.0055218902
X226,0.005512813
X709,0.005489989
X285,0.005448866
X711,0.0053969156
X172,0.0053812857
X761,0.005316247
X299,0.005301651
X768,0.005295161
X214,0.0052777524
X424,0.0052654697
X774,0.0052341255
X722,0.0050704777
X566,0.0050598397
X704,0.005027004
X678,0.005007184
X284,0.0049448553
X586,0.0049434546
X21,0.0049154866
X680,0.004913991
X428,0.0048858016
X713,0.0048757102
X17,0.0047826455
X420,0.004755865
X295,0.004742421
X121,0.004727525
X734,0.0046362476
X125,0.004610632
X612,0.004556104
X559,0.004500328
X325,0.004489547
X583,0.004389624
X160,0.0043463283
X291,0.0043115597
X605,0.004303445
X38,0.004226336
X712,0.0042173835
X334,0.0041987025
X506,0.004163701
X735,0.004161197
X691,0.004083763
X177,0.004068931
X153,0.0040370165
X762,0.0040358873
X178,0.004032348
X413,0.0039790208
X23,0.0039661
X561,0.0039573656
X163,0.003948156
X575,0.0039196988
X410,0.003918384
X760,0.003916963
X683,0.0039089927
X279,0.0038993158
X143,0.0038800344
X655,0.003844857
X42,0.0037999225
X272,0.0037901925
X88,0.0037861736
X608,0.0037834307
X277,0.0037553096
X685,0.003750804
X647,0.0037438648
X341,0.003734764
X684,0.0037181089
X415,0.0035614748
X113,0.003557571
X640,0.003555258
X770,0.0035434626
X77,0.0035289398
X46,0.0035267074
X368,0.003526256
X69,0.0035153339
X102,0.0034696884
X127,0.0034549152
X49,0.0034223075
X498,0.00336041
X162,0.0033139773
X319,0.00331351
X563,0.0032724703
X283,0.0032269796
X167,0.003217566
X408,0.003164896
X82,0.0031507076
X702,0.0031492102
X431,0.003132276
X274,0.0030803173
X48,0.0030781575
X169,0.0030666206
X628,0.00305553
X176,0.0030356052
X301,0.0030352783
X505,0.0030202812
X742,0.0030162507
X92,0.0030119566
X335,0.0029987874
X290,0.0029628677
X203,0.002960817
X550,0.0029589292
X377,0.0029505529
X642,0.0029346137
X401,0.0029085875
X56,0.0029017087
X264,0.0028953776
X562,0.002890303
X339,0.0028801062
X18,0.0028789712
X93,0.0028693539
X212,0.0028501519
X199,0.0028373764
X374,0.0028372863
X765,0.0028372563
X20,0.002825294
X117,0.0028182361
X560,0.002780008
X547,0.002767911
X193,0.0027223376
X78,0.0027218922
X438,0.0027081298
X657,0.0027065445
X371,0.0026962573
